DATE_OF_VARIATION_DB,DATE_OF_VARIATION_EF,SITEID,LATITUDE,LONGITUDE,ALTITUDE,CANOPY_HEIGHT,SA_MANUFACTURER,SA_MODEL,SA_SW_VERSION,SA_WIND_DATA_FORMAT,SA_NORTH_ALIGNEMENT,SA_HEIGHT,SA_NORTH_OFFSET,SA_NORTH_MAGDEC,SA_INVALID_WIND_SECTOR_c1,SA_INVALID_WIND_SECTOR_w1,SA_INVALID_WIND_SECTOR_c2,SA_INVALID_WIND_SECTOR_w2,SA_INVALID_WIND_SECTOR_c3,SA_INVALID_WIND_SECTOR_w3,GA_PATH,GA_MANUFACTURER,GA_MODEL,GA_SW_VERSION,GA_NORTHWARD_SEPARATION,GA_EASTWARD_SEPARATION,GA_VERTICAL_SEPARATION,GA_TUBE_DIAMETER,GA_FLOWRATE,GA_TUBE_LENGTH,FILE_DURATION,ACQUISITION_FREQUENCY,FILE_FORMAT,FILE_EXTENSION,LN,FN,EXTERNAL_TIMESTAMP,EOL,SEPARATOR,MISSING_DATA_STRING,NROW_HEADER,UVW_UNITS,T_SONIC_UNITS,T_CELL_UNITS,P_CELL_UNITS,CO2_measure_type,CO2_UNITS,H2O_measure_type,H2O_UNITS,SA_DIAG,GA_DIAG
202310110000,202001010000,GL-ZaF,74.481522,-20.555773,38,0.1,gill,hs_50_1,3.01,uvw,spar,3.16,60,NA,105,20,247.5,55,NA,NA,closed,licor,li7200_1,8.8.28,-11,-18,0,5.3,12,71.1,30,10,ASCII,csv,1,10,END,crlf,comma,-9999,1,m_sec,celsius,celsius,kpa,mixing_ratio,ppm,mixing_ratio,ppt,dimensionless,dimensionless
202310110000,202007041100,GL-ZaF,74.481522,-20.555773,38,0.1,gill,hs_50_1,3.01,uvw,spar,3.16,60,NA,105,20,247.5,55,NA,NA,closed,licor,li7200_1,8.8.32,-11,-18,0,5.3,12,71.1,30,10,ASCII,csv,1,10,END,crlf,comma,-9999,1,m_sec,celsius,celsius,kpa,mixing_ratio,ppm,mixing_ratio,ppt,dimensionless,dimensionless
202310110000,202106120130,GL-ZaF,74.481522,-20.555773,38,0.1,gill,hs_50_1,3.01,uvw,spar,3.16,60,NA,105,20,247.5,55,NA,NA,closed,licor,li7200_1,8.9,-11,-18,0,5.3,12,71.1,30,10,ASCII,csv,1,10,END,crlf,comma,-9999,1,m_sec,celsius,celsius,kpa,mixing_ratio,ppm,mixing_ratio,ppt,dimensionless,dimensionless
